date,amount
16.02.22 Mi.,20
17.02.22 Do.,17
18.02.22 Fr.,15
21.02.22 Mo.,20
22.02.22 Di.,18
23.02.22 Mi.,18
24.02.22 Do.,16
25.02.22 Fr.,16
28.02.22 Mo.,18
01.03.22 Di.,17
02.03.22 Mi.,20
03.03.22 Do.,19
04.03.22 Fr.,19
07.03.22 Mo.,18
08.03.22 Di.,19
09.03.22 Mi.,19
10.03.22 Do.,20
11.03.22 Fr.,18
14.03.22 Mo.,17
15.03.22 Di.,30
16.03.22 Mi.,20
17.03.22 Do.,18
18.03.22 Fr.,18
21.03.22 Mo.,20
22.03.22 Di.,24
23.03.22 Mi.,20
24.03.22 Do.,23
25.03.22 Fr.,24
28.03.22 Mo.,17
29.03.22 Di.,18
30.03.22 Mi.,20
31.03.22 Do.,18
01.04.22 Fr.,18
04.04.22 Mo.,16
05.04.22 Di.,19
06.04.22 Mi.,19
07.04.22 Do.,18
08.04.22 Fr.,20
11.04.22 Mo.,19
12.04.22 Di.,22
13.04.22 Mi.,25
14.04.22 Do.,21
19.04.22 Di.,25
20.04.22 Mi.,24
21.04.22 Do.,21
22.04.22 Fr.,20
25.04.22 Mo.,17
26.04.22 Di.,22
27.04.22 Mi.,21
28.04.22 Do.,21
29.04.22 Fr.,20
02.05.22 Mo.,25
03.05.22 Di.,23
04.05.22 Mi.,21
05.05.22 Do.,18
06.05.22 Fr.,16
09.05.22 Mo.,23
10.05.22 Di.,24
11.05.22 Mi.,23
12.05.22 Do.,28
13.05.22 Fr.,24
16.05.22 Mo.,22
17.05.22 Di.,25
18.05.22 Mi.,23
19.05.22 Do.,23
20.05.22 Fr.,23
23.05.22 Mo.,18
24.05.22 Di.,22
25.05.22 Mi.,25
27.05.22 Fr.,15
30.05.22 Mo.,24
31.05.22 Di.,25
01.06.22 Mi.,23
02.06.22 Do.,20
03.06.22 Fr.,28
07.06.22 Di.,23
08.06.22 Mi.,20
